Comment,Designator,Footprint,LCSC Part #
1.0k,R14 R32,R0603,
1k,R13,R0603,
1n,C5 C7 C15 C33,C0603,
2.2k,R1 R15 R19,R0603,
2N3906,Q1 Q2 Q3 Q4,SOT23-BEC,
2N7002,Q6 Q7,SOT23,
4.7k,R6 R10 R24 R28,R0603,
4.7u,C1,UD-5X5 8_NICHICON,
4.7u,C21,UD-5X5 8_NICHICON,
5.6V,D1,MELF-MLL34,
10k,R4 R5 R8 R9 R12 R22 R23 R26 R27 R29 R31 R39 R40,R0603,
10p,C31 C32,C0603,
14k,R11,R0603,
18k,R2 R16,R0603,
20MHz,Q5,HC49UP,
20p,C26 C27,C0603,
22k,R41,R0603,
33k,R53 R54,R0603,
47k,R17,R0603,
57k,R55,R0603,
68k,R42,R0603,
100k,R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R56 R57 R58 R59 R60 R61 R62,R0603,
100n,C2 C3 C6 C8 C9 C12 C13 C16 C17 C18 C19 C23 C24 C25 C29 C30 C34 C35 C36 C37,C0603,
100p,C4 C10,C0603,
100u,C11,UD-6 3X7 7_NICHICON,
100u,C20,UD-6 3X7 7_NICHICON,
100u,C28,UD-6 3X7 7_NICHICON,
180k,R18,R0603,
220,R3 R7 R21 R25 R30 R34 R37 R38,R0603,
220n,C14 C22,C0603,
390k,R20,R0603,
470,R35 R36,R0603,
4052D,IC1,SOIC16N,
ATMEGA328P-AU,U4,TQFP-32,
LED GREEN,LED1,CHIP-LED0603,
LED RED,LED2,CHIP-LED0603,
LM13700M,IC2 IC3 IC4,SO16,
MCP4822E-SN,U3,SOIC8,
TL072,IC5,SOIC8,
TL072CD,U1 U2,SOIC8,
