Designator,Mid X,Mid Y,Layer,Rotation
C1,106.68,50.80,Top,90.0
C2,51.82,48.39,Top,270.0
C3,53.85,48.39,Top,90.0
C4,18.92,48.26,Top,90.0
C5,20.96,48.26,Top,270.0
C6,34.48,48.26,Top,90.0
C7,38.67,48.26,Top,270.0
C8,67.06,48.26,Top,270.0
C9,69.09,48.26,Top,90.0
C10,75.31,48.26,Top,90.0
C11,79.38,48.26,Top,270.0
C12,85.09,48.26,Top,0.0
C13,94.11,48.26,Top,90.0
C14,106.68,40.01,Top,90.0
C15,21.84,33.02,Top,270.0
C16,26.04,33.02,Top,90.0
C17,33.66,33.02,Top,270.0
C18,41.78,33.02,Top,90.0
C19,52.83,33.02,Top,90.0
C20,67.06,33.02,Top,90.0
C21,69.09,33.02,Top,90.0
C22,76.20,33.02,Top,270.0
C23,80.26,33.02,Top,90.0
C24,86.11,33.02,Top,270.0
C25,96.27,33.02,Top,90.0
C26,93.34,25.40,Top,180.0
C27,74.30,24.77,Top,180.0
C28,37.47,19.05,Top,180.0
C29,48.90,19.05,Top,0.0
C30,37.47,17.02,Top,180.0
C31,80.65,12.70,Top,180.0
C32,89.54,12.07,Top,180.0
C33,92.71,12.07,Top,180.0
C34,37.47,11.43,Top,0.0
C35,107.32, 5.08,Top,90.0
C36,78.49, 3.18,Top,0.0
C37,87.63, 3.18,Top,0.0
D1,34.29,26.67,Top,180.0
IC1,22.86,40.64,Top,0.0
IC2,36.83,40.64,Top,0.0
IC3,50.80,40.64,Top,0.0
IC4,66.04,40.64,Top,0.0
IC5,78.11,40.64,Top,0.0
IC6,92.08,40.64,Top,0.0
IC7,43.18,14.61,Top,270.0
LED1, 2.54,12.70,Top,0.0
LED2, 2.54, 8.26,Top,0.0
Q1,21.59,54.23,Top,270.0
Q2,30.48,43.18,Top,0.0
Q3,30.48,38.73,Top,180.0
Q4,20.32,26.67,Top,90.0
Q5,83.82, 6.99,Top,0.0
Q6,62.23, 3.18,Top,0.0
Q7,71.76, 3.18,Top,0.0
R1,45.72,48.39,Top,270.0
R2,47.75,48.39,Top,270.0
R3,49.78,48.39,Top,90.0
R4,55.88,48.39,Top,270.0
R5,13.97,48.26,Top,90.0
R6,23.05,48.26,Top,270.0
R7,25.08,48.26,Top,90.0
R8,36.58,48.26,Top,90.0
R9,60.96,48.26,Top,270.0
R10,62.99,48.26,Top,270.0
R11,65.02,48.26,Top,90.0
R12,71.12,48.26,Top,270.0
R13,77.34,48.26,Top,90.0
R14,90.04,48.26,Top,90.0
R15,92.08,48.26,Top,270.0
R17,19.75,33.02,Top,270.0
R18,23.94,33.02,Top,90.0
R19,31.62,33.02,Top,90.0
R20,35.69,33.02,Top,270.0
R21,37.72,33.02,Top,90.0
R22,39.75,33.02,Top,90.0
R23,46.74,33.02,Top,90.0
R24,48.77,33.02,Top,90.0
R25,50.80,33.02,Top,270.0
R26,54.86,33.02,Top,90.0
R27,60.96,33.02,Top,90.0
R28,62.99,33.02,Top,90.0
R29,65.02,33.02,Top,270.0
R30,71.12,33.02,Top,90.0
R31,78.23,33.02,Top,270.0
R32,88.14,33.02,Top,270.0
R33,90.17,33.02,Top,90.0
R34,92.20,33.02,Top,270.0
R35,94.23,33.02,Top,270.0
R36,29.72,26.80,Top,180.0
R38,57.40,20.96,Top,90.0
R39,62.48,20.96,Top,90.0
R40,64.52,20.96,Top,90.0
R41,67.56,20.96,Top,90.0
R42,110.49,14.73,Top,180.0
R43,53.34,14.61,Top,90.0
R44,55.37,14.61,Top,90.0
R45,57.40,14.61,Top,90.0
R46,59.44,14.61,Top,90.0
R47,61.47,14.61,Top,90.0
R48,63.50,14.61,Top,90.0
R49,65.53,14.61,Top,90.0
R50,67.56,14.61,Top,90.0
R51,12.07,12.70,Top,0.0
R52,110.49,12.70,Top,180.0
R53,110.49,10.67,Top,180.0
R54,12.07, 8.26,Top,0.0
R55,53.34, 8.26,Top,90.0
R56,56.39, 8.26,Top,90.0
R57,58.42, 8.26,Top,90.0
R58,62.48, 8.26,Top,90.0
R59,64.52, 8.26,Top,90.0
R60,67.69, 8.26,Top,90.0
R61,92.08, 3.81,Top,270.0
R62,57.79, 3.18,Top,0.0
R63,67.31, 3.18,Top,0.0
SJ1, 4.45,48.26,Top,90.0
U1,92.71,19.05,Top,0.0
U2,79.38,16.89,Top,90.0
